,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
51,1,298.9,309.1,1383,54.9,145,0
52,0,298.8,309.0,1497,43.8,147,0
53,1,298.7,309.0,1565,35.1,152,0
54,1,298.7,309.0,1691,30.1,154,0
55,1,298.8,309.1,1512,40.7,156,0
56,1,298.8,309.1,1477,42.4,158,0
57,1,298.8,309.1,1513,40.3,160,0
58,2,298.8,309.0,1661,29.5,162,0
59,1,298.8,309.1,1378,54.4,165,0
60,1,298.8,309.1,1393,52.6,167,0
61,2,298.8,309.0,1592,38.2,169,0
62,1,298.8,309.0,1829,22.9,172,0
63,2,298.9,309.0,1812,25.9,174,0
64,1,299.0,309.1,1523,38.6,177,0
65,1,299.0,309.1,1394,45.1,179,0
66,2,298.9,308.9,1679,28.7,181,0
67,0,298.8,308.9,1466,44.1,184,0
68,1,298.8,308.9,1527,32.4,189,0
69,1,298.9,309.0,1410,65.7,191,2
70,2,298.9,309.0,1924,22.6,193,0
71,1,298.9,309.1,1452,45.5,196,0
72,1,298.9,309.1,1369,44.4,198,0
73,1,299.0,309.1,1592,35.0,200,0
74,1,298.9,309.0,1601,32.3,202,0
75,1,298.8,308.9,1379,46.7,204,0
76,1,298.8,308.9,1461,47.9,206,0
77,1,298.8,308.9,1455,41.3,208,4
78,1,298.8,308.9,1398,51.5,0,0
79,1,298.8,308.9,1402,37.9,2,0
80,0,298.8,308.8,1445,49.9,4,0
81,1,298.9,308.9,1450,47.5,9,0
82,1,298.9,308.9,1453,40.8,11,0
83,1,299.0,309.0,1469,40.1,13,0
84,1,298.9,308.9,1422,47.6,15,0
85,2,299.0,309.0,1804,26.8,17,0
86,0,299.0,309.0,1436,43.9,20,0
87,1,299.0,309.0,1544,31.8,25,0
88,2,299.0,309.0,1419,45.2,27,0
89,2,298.9,308.9,1487,39.5,30,0
90,1,298.9,308.9,1753,25.8,33,0
91,1,298.9,308.9,1830,24.9,35,0
92,2,298.9,308.9,1727,27.1,37,0
93,1,299.1,309.0,1450,43.0,40,0
94,1,299.0,308.9,1622,31.9,42,0
95,2,299.0,309.0,1351,52.2,44,0
96,2,299.0,309.0,1575,35.3,47,0
97,2,298.9,308.9,1750,29.9,50,0
98,1,298.9,308.8,1529,32.7,53,0
99,1,298.8,308.8,1523,44.4,55,0
100,1,298.8,308.9,1852,25.0,57,0
101,1,298.8,308.8,1991,20.7,59,0
102,1,298.8,308.8,1555,40.6,61,0
103,2,298.8,308.8,1441,40.5,63,0
104,1,298.8,308.7,1450,43.4,66,0
105,1,298.8,308.7,1591,31.1,68,0
106,1,298.8,308.7,1445,48.5,70,0
107,2,298.8,308.8,1497,46.8,72,0
108,0,298.9,308.8,1621,32.7,75,0
109,1,298.9,308.7,1572,34.1,80,0
110,1,298.8,308.6,1872,22.5,82,0
111,0,298.7,308.6,1499,43.5,84,0
112,2,298.8,308.7,1498,39.5,89,0
113,2,298.8,308.6,1486,41.9,92,0
114,1,298.8,308.6,1680,29.4,95,0
115,1,298.8,308.6,1431,45.7,97,0
116,1,298.9,308.7,1564,34.1,99,0
117,1,298.8,308.6,1599,33.0,101,0
118,2,298.8,308.6,1707,28.1,103,0
119,1,298.7,308.5,1467,40.7,106,0
120,1,298.9,308.7,1433,44.7,108,0
121,1,298.9,308.7,1558,41.2,110,0
122,1,299.0,308.8,1310,50.7,112,0
123,1,298.9,308.7,1546,43.4,114,0
124,1,298.9,308.7,1727,29.4,116,0
125,1,298.9,308.6,1560,32.2,118,0
126,1,299.0,308.6,1329,60.5,120,0
127,1,298.9,308.6,1413,46.5,122,0
128,1,299.0,308.6,1587,38.6,124,0
129,1,298.9,308.5,1559,34.3,126,0
130,1,298.8,308.4,1473,41.1,128,0
131,1,298.8,308.4,1737,27.7,130,0
132,2,298.7,308.4,1441,43.2,132,0
133,2,298.7,308.4,1430,49.6,135,0
134,1,298.8,308.4,1369,53.0,138,0
135,2,298.8,308.5,1711,28.5,140,0
136,0,298.7,308.5,1420,45.7,143,0
137,1,298.7,308.6,1297,55.3,148,0
138,0,298.8,308.6,1449,49.4,150,0
139,1,298.8,308.6,1268,55.8,155,0
140,1,298.8,308.6,1511,36.1,157,0
141,1,298.7,308.5,1544,35.2,159,0
142,2,298.6,308.4,1778,28.2,161,0
143,0,298.6,308.4,1407,50.5,164,0
144,2,298.6,308.4,1391,42.4,169,0
145,1,298.5,308.4,1513,33.6,172,0
146,0,298.5,308.4,1612,36.1,174,0
147,1,298.4,308.4,1515,40.1,179,0
148,2,298.3,308.3,1379,48.0,181,0
149,1,298.4,308.3,1473,39.9,184,0
150,1,298.4,308.3,1422,42.7,186,0
151,2,298.4,308.2,1463,37.6,188,0
152,2,298.4,308.2,1584,41.0,191,0
153,1,298.4,308.2,1850,27.0,194,0
154,1,298.4,308.2,1528,36.2,196,0
155,0,298.4,308.2,1987,19.8,198,0
156,2,298.4,308.1,1495,46.0,203,0
157,0,298.4,308.2,1478,43.5,206,0
158,2,298.4,308.2,1499,40.0,211,0
159,1,298.4,308.2,1471,47.0,214,0
160,1,298.4,308.2,1282,60.7,216,3
161,1,298.3,308.1,1412,52.3,218,3
162,1,298.3,308.1,1586,35.5,0,0
163,2,298.4,308.2,1468,43.8,2,0
164,2,298.5,308.3,1440,43.6,5,0
165,1,298.5,308.4,1733,26.0,8,0
166,0,298.4,308.2,1612,32.6,10,0
167,0,298.4,308.3,1458,42.9,15,0
168,1,298.4,308.3,1433,62.3,20,2
169,1,298.4,308.3,1318,59.1,22,0
170,2,298.4,308.2,1610,35.0,24,0
171,1,298.2,308.1,1462,50.8,27,0
172,2,298.1,308.0,1924,20.8,29,0
173,2,298.2,308.0,1591,33.7,32,0
174,1,298.2,308.1,1306,58.3,35,0
175,1,298.2,308.1,1382,43.5,37,0
176,1,298.2,308.1,1618,34.7,39,0
177,1,298.2,308.2,1988,21.4,41,0
178,1,298.2,308.2,1436,50.2,43,0
179,1,298.2,308.3,1304,49.8,45,0
180,1,298.2,308.3,1475,49.9,47,0
181,0,298.2,308.3,1824,24.2,49,0
182,2,298.1,308.2,1342,48.1,54,0
183,1,298.1,308.2,1485,40.7,57,0
184,1,298.2,308.2,1667,30.6,59,0
185,1,298.2,308.2,1446,38.2,61,0
186,1,298.1,308.3,1301,56.0,63,0
187,1,298.2,308.4,1379,43.1,65,0
188,1,298.3,308.5,1606,33.6,67,0
189,2,298.3,308.4,1539,43.4,69,0
190,1,298.2,308.4,1477,49.9,72,0
191,1,298.2,308.4,1666,34.6,74,0
192,0,298.2,308.4,1398,51.8,76,0
193,0,298.2,308.4,1678,34.6,81,0
194,2,298.2,308.5,2678,10.7,86,2
195,1,298.3,308.5,1453,42.9,89,0
196,0,298.3,308.6,1432,49.5,91,0
197,2,298.4,308.6,1527,40.9,96,0
198,1,298.4,308.7,1588,35.0,99,0
199,1,298.4,308.6,1433,47.1,101,0
200,1,298.4,308.6,1609,35.0,103,0
201,1,298.3,308.5,1575,41.2,105,0
202,2,298.4,308.5,1636,35.7,107,0
203,1,298.4,308.5,1490,37.9,110,0
204,1,298.4,308.5,1741,32.8,112,0
205,2,298.5,308.6,1344,53.0,114,0
206,1,298.5,308.7,1609,35.3,117,0
207,2,298.4,308.7,1421,60.7,119,2
208,1,298.4,308.6,1591,36.7,122,0
209,1,298.4,308.6,1477,44.0,124,0
210,1,298.4,308.7,1523,36.1,126,0
211,1,298.5,308.7,1575,33.9,128,0
212,0,298.4,308.7,1344,52.9,130,0
213,1,298.4,308.7,1386,44.9,135,0
214,2,298.3,308.6,1589,37.1,137,0
215,1,298.3,308.6,1548,40.3,140,0
216,1,298.3,308.6,1499,38.3,142,0
217,1,298.3,308.5,1664,31.6,144,0
218,1,298.3,308.6,1447,38.1,146,0
219,2,298.3,308.5,1434,46.2,148,0
220,1,298.3,308.5,1416,52.7,151,0
221,0,298.4,308.5,1827,24.3,153,0
222,1,298.4,308.6,1304,45.0,158,0
223,1,298.4,308.6,1569,34.4,160,0
224,1,298.3,308.6,1584,29.3,162,0
225,1,298.3,308.5,1362,53.8,164,0
226,1,298.3,308.4,1329,49.2,166,0
227,1,298.3,308.5,1539,36.1,168,0
228,2,298.3,308.5,1629,37.1,170,0
229,1,298.3,308.5,1538,32.2,173,0
230,1,298.3,308.6,1570,34.8,175,0
231,1,298.3,308.4,1408,43.1,177,0
232,1,298.2,308.4,1424,47.6,179,0
233,1,298.2,308.4,1512,34.9,181,0
234,1,298.2,308.4,1478,42.9,183,0
235,2,298.1,308.3,1680,33.7,185,0
236,1,298.1,308.3,1495,38.7,188,0
237,2,298.0,308.1,1552,36.6,190,0
238,1,297.9,308.1,1393,50.3,193,0
239,1,298.0,308.2,1611,30.6,195,0
240,2,298.0,308.1,1339,51.6,197,0
241,1,298.0,308.1,1777,24.3,200,0
242,1,298.0,308.2,1348,58.8,202,3
243,1,298.0,308.2,1442,44.1,204,0
244,2,298.0,308.2,1395,49.1,206,0
245,2,297.9,308.1,1627,31.4,209,0
246,1,297.9,308.1,1585,33.5,212,0
247,1,298.0,308.2,1469,45.5,214,0
248,1,298.0,308.3,1362,56.8,216,3
249,1,298.0,308.3,1405,56.2,218,3
250,1,298.0,308.3,1662,32.7,0,0
251,2,298.0,308.2,1466,42.6,2,0
252,1,298.0,308.2,1620,35.8,5,0
253,1,298.0,308.2,1357,48.2,7,0
254,1,298.0,308.2,1514,37.9,9,0
255,1,298.0,308.2,1489,40.4,11,0
256,1,298.1,308.3,1331,63.0,13,0
257,1,298.0,308.0,1615,29.5,15,0
258,1,298.1,308.2,1482,37.9,17,0
259,2,298.1,308.2,1420,63.9,19,2
260,2,298.2,308.3,1522,49.1,22,0
261,1,298.1,308.2,1654,32.1,25,0
262,2,298.1,308.2,1736,26.8,27,0
263,2,298.0,308.1,1587,32.3,30,0
264,1,298.1,308.2,1390,47.5,33,0
265,1,298.0,308.1,1454,37.1,35,0
266,0,298.0,308.1,1440,43.7,37,0
267,1,297.9,308.0,1954,21.1,42,0
268,0,297.9,308.0,1800,24.8,44,0
269,1,298.0,308.0,1524,37.0,49,0
270,0,298.0,308.0,1520,39.6,51,0
271,2,298.1,308.1,1452,40.8,56,0
272,1,298.1,308.1,1484,40.4,59,0
273,1,298.1,308.0,1426,46.0,61,0
274,1,298.1,308.0,1652,28.5,63,0
275,1,298.0,308.0,1401,54.7,65,0
276,2,298.0,307.9,1750,26.6,67,0
277,0,298.0,308.0,1479,50.7,70,0
278,2,298.0,308.0,1620,29.4,75,0
279,1,298.0,308.1,1819,23.4,78,0
280,2,298.1,308.1,1456,43.7,80,0
281,1,298.1,308.0,1626,36.5,83,0
282,2,298.1,308.1,1390,49.8,85,0
283,1,298.2,308.2,1469,43.0,88,0
284,1,298.2,308.3,2051,19.2,90,0
285,1,298.2,308.3,1568,36.0,92,0
286,1,298.2,308.3,1589,33.2,94,0
287,1,298.2,308.3,1805,31.6,96,0
288,0,298.2,308.4,1385,42.2,98,0
289,1,298.1,308.4,1436,46.7,103,0
290,1,298.1,308.4,1438,45.6,105,0
291,1,298.0,308.3,1473,42.6,107,0
292,1,298.1,308.4,1335,40.2,109,0
293,0,298.1,308.5,1392,44.8,111,0
294,2,298.1,308.5,1372,51.1,116,0
295,2,298.1,308.6,1716,30.7,119,0
296,1,298.0,308.5,1395,46.2,122,0
297,1,298.0,308.5,1713,25.3,124,0
298,0,297.9,308.5,2129,18.7,126,0
299,2,297.8,308.3,1567,35.6,131,0
300,1,297.8,308.4,1622,38.3,134,0
301,1,297.7,308.4,1740,27.1,136,0
302,0,297.8,308.4,1512,35.1,138,0
303,2,297.8,308.4,1479,43.5,143,0
304,1,297.8,308.4,1737,27.5,146,0
305,1,297.8,308.4,2129,19.2,148,0
306,1,297.8,308.4,1374,47.1,150,0
307,2,297.8,308.4,1579,36.6,152,0
308,1,297.9,308.5,1305,47.2,155,0
309,2,297.9,308.5,1449,40.8,157,0
310,0,298.0,308.6,1526,41.8,160,0
311,2,298.0,308.6,1453,44.1,165,0
312,1,297.9,308.6,1468,36.0,168,0
313,1,298.0,308.6,1313,50.8,170,0
314,2,297.9,308.5,1300,53.0,172,0
315,1,297.9,308.4,1646,40.6,175,0
316,1,297.8,308.4,1714,33.2,177,0
317,1,297.8,308.4,1685,28.4,179,0
318,1,297.8,308.4,1512,39.9,181,0
319,1,297.8,308.4,1612,32.1,183,0
320,0,297.8,308.4,1550,38.2,185,0
321,1,297.8,308.4,1518,32.5,190,0
322,1,297.8,308.5,1448,40.0,192,0
323,1,297.8,308.5,1561,46.3,194,0
324,2,297.8,308.5,1488,41.9,196,0
325,1,297.8,308.5,1699,27.8,199,0
326,1,297.7,308.5,1501,41.4,201,0
327,1,297.7,308.5,1373,56.7,203,3
328,0,297.6,308.4,1703,31.4,205,0
329,0,297.7,308.5,1720,29.9,210,0
330,2,297.6,308.4,1398,41.9,215,0
331,2,297.6,308.4,1391,51.9,218,0
332,2,297.6,308.3,1538,40.2,0,0
333,1,297.5,308.2,1647,31.3,3,0
334,2,297.5,308.1,1469,44.8,5,0
335,1,297.4,308.1,1749,25.9,8,0
336,2,297.6,308.2,1995,20.5,10,0
337,1,297.6,308.3,1742,27.7,13,0
338,1,297.5,308.2,1563,38.2,15,0
339,2,297.5,308.2,1713,32.2,17,0
340,1,297.4,308.1,1474,39.4,20,0
341,2,297.4,308.2,1530,32.6,22,0
342,1,297.4,308.2,1471,46.5,25,0
343,1,297.5,308.3,1388,48.6,27,0
344,2,297.5,308.2,2448,13.8,29,0
345,1,297.5,308.3,1585,32.9,32,0
346,2,297.5,308.3,1459,45.2,34,0
347,1,297.5,308.3,1544,40.8,37,0
348,1,297.6,308.3,1617,31.7,39,0
349,1,297.6,308.3,1595,34.3,41,0
350,0,297.6,308.3,1400,44.3,43,0
351,2,297.6,308.4,1611,31.0,48,0
352,2,297.6,308.4,1507,46.0,51,0
353,0,297.5,308.3,1674,30.0,54,0
354,1,297.6,308.3,1658,34.3,59,0
355,1,297.6,308.3,1623,36.9,61,0
356,2,297.6,308.4,1398,48.9,63,0
357,1,297.6,308.4,1517,34.2,66,0
358,2,297.6,308.3,1467,36.7,68,0
359,2,297.6,308.3,1567,34.6,71,0
360,2,297.5,308.3,1521,38.2,74,0
361,1,297.5,308.3,1596,36.8,77,0
362,0,297.6,308.3,1640,30.9,79,0
363,1,297.6,308.3,1438,47.8,84,0
364,1,297.6,308.4,1407,55.2,86,0
365,1,297.6,308.4,1353,57.5,88,0
366,2,297.6,308.5,1552,40.9,90,0
367,2,297.6,308.4,1569,38.3,93,0
368,1,297.5,308.4,1489,39.5,96,0
369,0,297.5,308.4,1587,36.1,98,0
370,2,297.5,308.3,1622,37.2,103,0
371,1,297.5,308.4,1604,38.1,106,0
372,2,297.4,308.3,1405,51.7,108,0
373,1,297.4,308.3,1412,42.0,111,0
374,1,297.4,308.3,1431,43.0,113,0
375,1,297.4,308.2,1533,37.4,115,0
376,2,297.4,308.2,1401,51.9,117,0
377,2,297.4,308.2,1424,53.9,120,0
378,1,297.3,308.2,1754,29.4,123,0
379,1,297.3,308.2,1754,26.8,125,0
380,1,297.5,308.3,2564,12.8,127,2
381,1,297.5,308.5,1546,40.4,129,0
382,1,297.5,308.5,1335,48.0,131,0
383,2,297.5,308.6,1842,27.0,133,0
384,1,297.5,308.5,1712,26.8,136,0
385,2,297.6,308.6,1414,45.4,138,0
386,1,297.6,308.7,1319,50.9,141,0
387,1,297.7,308.7,1249,60.4,143,0
388,1,297.6,308.7,1455,48.2,145,0
389,2,297.6,308.7,1408,54.8,147,0
390,1,297.6,308.7,1460,46.7,150,0
391,1,297.6,308.6,1491,38.1,152,0
392,2,297.6,308.5,1490,43.4,154,0
393,2,297.5,308.4,1350,52.2,157,0
394,1,297.5,308.4,1528,39.9,160,0
395,1,297.4,308.3,1571,37.7,162,0
396,1,297.4,308.3,1490,42.6,164,0
397,2,297.4,308.3,1774,28.9,166,0
398,0,297.4,308.3,1502,43.6,169,0
399,1,297.4,308.4,1392,49.7,174,0
400,1,297.4,308.5,2100,16.9,176,0
401,1,297.5,308.5,1722,30.4,178,0
402,1,297.4,308.6,1678,32.3,180,0
403,1,297.3,308.6,1273,59.8,182,0
404,1,297.3,308.6,1297,45.9,184,0
405,1,297.3,308.5,1350,57.6,186,0
406,1,297.4,308.6,1439,51.9,188,0
407,2,297.4,308.5,1600,42.1,190,0
408,2,297.4,308.6,1434,44.4,193,0
409,1,297.4,308.6,1459,41.3,196,0
410,2,297.5,308.6,1472,44.9,198,0
411,1,297.5,308.7,1429,44.3,201,0
412,1,297.5,308.6,1388,48.2,203,0
413,1,297.4,308.4,1573,34.5,205,0
414,1,297.4,308.4,1588,32.5,207,0
415,1,297.5,308.4,1511,42.8,209,0
416,1,297.4,308.5,1495,37.8,211,0
417,1,297.4,308.4,1394,50.1,213,0
418,1,297.4,308.4,2151,17.7,0,0
419,2,297.3,308.3,1501,38.2,2,0
420,2,297.3,308.3,1301,39.6,5,0
421,2,297.3,308.3,1657,31.1,8,0
422,1,297.3,308.3,1333,55.2,11,0
423,1,297.3,308.3,1484,43.9,13,0
424,1,297.3,308.4,1430,45.7,15,0
425,2,297.3,308.4,1665,28.9,17,0
426,1,297.4,308.5,1501,44.9,20,0
427,2,297.5,308.5,1496,42.2,22,0
428,2,297.6,308.6,1595,36.9,25,0
429,1,297.5,308.6,1208,62.3,28,0
430,1,297.5,308.6,1596,37.1,30,0
431,1,297.5,308.5,1446,41.9,32,0
432,2,297.6,308.5,1466,39.7,34,0
433,2,297.6,308.5,1848,23.7,37,0
434,2,297.5,308.5,1484,44.7,40,0
435,1,297.4,308.3,1493,41.2,43,0
436,1,297.3,308.3,1504,36.3,45,0
437,1,297.3,308.3,1538,38.5,47,0
438,1,297.4,308.4,1341,52.2,49,0
439,2,297.4,308.3,1535,34.6,51,0
440,1,297.4,308.5,1389,39.2,54,0
441,0,297.5,308.5,1393,46.6,56,0
442,1,297.4,308.5,1399,61.5,61,2
443,0,297.4,308.5,1469,45.1,63,0
444,1,297.4,308.4,1582,37.2,68,0
445,1,297.5,308.6,1793,26.7,70,0
446,1,297.5,308.6,1452,39.0,72,0
447,2,297.6,308.7,1376,59.9,74,0
448,1,297.5,308.6,1552,44.9,77,0
449,1,297.6,308.7,1622,37.9,79,0
450,2,297.6,308.7,1419,41.7,81,0
451,0,297.5,308.6,1440,46.1,84,0
452,2,297.4,308.6,1643,31.0,89,0
453,1,297.4,308.7,1510,36.2,92,0
454,1,297.4,308.7,1468,46.6,94,0
455,1,297.4,308.7,1429,57.4,96,0
456,0,297.3,308.7,1478,47.6,98,0
457,1,297.4,308.6,1276,53.6,103,0
458,1,297.3,308.6,1486,42.6,105,0
459,1,297.4,308.6,1476,42.3,107,0
460,0,297.3,308.6,1431,42.0,109,0
461,1,297.4,308.7,1402,40.2,114,0
462,1,297.4,308.7,1433,43.4,116,0
463,1,297.4,308.7,2874,4.2,118,2
464,1,297.3,308.6,1511,35.7,120,0
465,2,297.3,308.6,1456,42.9,122,0
466,1,297.2,308.5,1550,41.5,125,0
467,1,297.2,308.5,2182,16.5,127,0
468,1,297.3,308.7,1619,31.6,129,0
469,2,297.3,308.8,1586,32.7,131,0
470,0,297.3,308.8,1499,44.2,134,0
471,0,297.3,308.8,1419,42.4,139,0
472,2,297.4,309.0,1497,41.8,144,0
473,2,297.4,309.0,1520,37.0,147,0
474,1,297.4,309.1,1478,49.8,150,0
475,1,297.4,309.1,1380,41.1,152,0
476,1,297.4,309.0,1570,37.9,154,0
477,0,297.4,309.0,1468,41.4,156,0
478,1,297.4,309.0,1833,22.6,161,0
479,2,297.4,308.9,1323,57.3,163,0
480,1,297.4,309.0,1583,32.0,166,0
481,2,297.3,309.0,1556,39.5,168,0
482,1,297.3,309.0,1548,37.4,171,0
483,1,297.4,309.0,1324,56.9,173,0
484,1,297.4,309.0,1568,33.7,175,0
485,2,297.4,309.0,1685,30.7,177,0
486,2,297.4,309.1,1582,35.9,180,0
487,2,297.4,309.1,1463,35.0,183,0
488,1,297.4,309.2,1584,42.8,186,0
489,2,297.5,309.2,1347,55.8,188,0
490,1,297.4,309.2,1459,37.9,191,0
491,1,297.4,309.2,1420,45.6,193,0
492,1,297.5,309.3,1404,43.5,195,0
493,1,297.5,309.3,1470,38.8,197,0
494,1,297.6,309.4,1326,49.8,199,0
495,0,297.5,309.3,1459,49.7,201,0
496,2,297.5,309.2,1530,40.0,206,0
497,1,297.4,309.0,1505,39.2,209,0
498,1,297.5,309.1,1611,30.2,211,0
499,1,297.5,309.1,1515,35.1,213,0
500,2,297.5,309.2,1804,27.4,215,0
501,2,297.6,309.3,1464,46.2,218,0
502,1,297.6,309.2,1390,43.3,221,0
503,2,297.6,309.2,1442,48.1,0,0
504,2,297.6,309.3,1529,41.9,3,0
505,1,297.6,309.3,1610,35.0,6,0
506,1,297.6,309.3,1543,34.3,8,0
507,0,297.8,309.4,1445,48.2,10,0
508,1,297.7,309.3,1893,24.6,15,0
509,2,297.6,309.3,1415,41.3,17,0
510,1,297.5,309.3,1564,37.5,20,0
511,1,297.5,309.3,1479,39.4,22,0
512,1,297.5,309.2,1426,44.8,24,0
513,1,297.4,309.2,1428,38.8,26,0
514,1,297.4,309.2,1620,33.2,28,0
515,1,297.5,309.2,1715,28.0,30,0
516,1,297.5,309.3,1732,29.9,32,0
517,2,297.5,309.4,1391,58.2,34,0
518,1,297.6,309.5,1924,20.6,37,0
519,2,297.7,309.5,2027,19.8,39,0
520,1,297.6,309.5,1617,36.2,42,0
521,1,297.5,309.4,1497,35.8,44,0
522,2,297.5,309.5,1448,43.7,46,0
523,1,297.4,309.4,1401,45.9,49,0
524,1,297.4,309.4,1620,35.4,51,0
525,1,297.4,309.4,1466,45.5,53,0
526,1,297.6,309.5,1373,50.6,55,0
527,2,297.6,309.6,1592,35.8,57,0
528,2,297.5,309.5,1553,42.4,60,0
529,1,297.6,309.5,1569,36.2,63,0
530,2,297.6,309.5,1709,32.2,65,0
531,1,297.6,309.5,1549,34.9,68,0
532,1,297.5,309.4,1443,45.4,70,0
533,1,297.5,309.3,1675,29.8,72,0
534,1,297.5,309.3,1623,33.4,74,0
535,0,297.4,309.3,1365,52.4,76,0
536,1,297.4,309.3,1759,24.8,81,0
537,0,297.4,309.3,1516,43.0,83,0
538,2,297.4,309.3,1499,36.8,88,0
539,2,297.4,309.3,1775,25.8,91,0
540,1,297.4,309.4,1473,45.5,94,0
541,1,297.4,309.4,1296,52.3,96,0
542,1,297.5,309.4,1803,24.7,98,0
543,0,297.5,309.3,1563,36.1,100,0
544,2,297.5,309.4,1831,26.6,105,0
545,1,297.6,309.4,1958,22.1,108,0
546,1,297.5,309.4,1809,24.3,110,0
547,2,297.5,309.4,1482,39.3,112,0
548,1,297.4,309.3,1332,53.2,115,0
549,1,297.4,309.2,1437,40.4,117,0
550,1,297.4,309.2,1698,29.4,119,0
551,1,297.4,309.2,1274,54.3,121,0
552,2,297.4,309.3,1622,35.0,123,0
553,2,297.4,309.3,1564,36.0,126,0
554,0,297.5,309.4,1368,45.3,129,0
555,2,297.4,309.4,1539,42.2,134,0
556,1,297.5,309.4,1357,50.1,137,0
557,2,297.5,309.4,1433,48.3,139,0
558,1,297.5,309.4,1650,34.6,142,0
559,1,297.5,309.4,1503,40.6,144,0
560,1,297.5,309.4,1318,58.2,146,0
561,2,297.5,309.4,1678,34.4,148,0
562,1,297.6,309.5,1574,30.9,151,0
563,1,297.7,309.6,1529,35.2,153,0
564,0,297.6,309.6,1669,32.1,155,0
565,0,297.7,309.7,1570,35.8,160,0
566,2,297.6,309.7,1541,33.7,165,0
567,2,297.7,309.7,1680,30.2,168,0
568,1,297.8,309.7,1935,22.1,171,0
569,2,297.7,309.6,1596,35.2,173,0
570,1,297.7,309.7,1498,41.0,176,0
571,2,297.8,309.8,1676,29.0,178,0
572,1,297.8,309.9,1351,49.0,181,0
573,1,297.9,309.9,1472,45.0,183,0
574,2,297.9,310.0,1439,41.7,185,0
575,2,297.9,309.9,1410,55.4,188,0
576,0,297.7,309.7,1440,51.1,191,0
577,1,297.7,309.7,1591,37.7,196,0
578,1,297.8,309.8,1533,36.8,198,0
579,2,297.8,309.7,1700,31.3,200,0
580,2,297.8,309.8,1798,25.5,203,0
581,1,297.8,309.7,1394,42.9,206,0
582,1,297.8,309.7,1341,49.2,208,0
583,0,297.7,309.6,1697,32.2,210,0
584,0,297.6,309.6,1419,48.2,215,0
585,1,297.6,309.5,2001,20.5,220,0
586,1,297.6,309.6,1501,49.8,222,3
587,0,297.6,309.5,1623,33.1,224,0
588,1,297.6,309.4,1628,33.4,229,0
589,1,297.6,309.4,1491,40.2,231,0
590,1,297.5,309.4,1517,36.7,233,0
591,0,297.5,309.3,1525,41.7,235,0
592,0,297.5,309.5,1668,27.9,240,0
593,1,297.5,309.6,1312,50.7,0,0
594,0,297.6,309.6,1278,50.4,2,0
595,2,297.6,309.6,1330,53.1,7,0
596,2,297.6,309.6,1530,37.3,10,0
597,0,297.6,309.6,1428,46.6,13,0
598,1,297.7,309.6,1480,47.9,18,0
599,0,297.7,309.7,1616,31.1,20,0
600,1,297.8,309.7,1547,37.3,25,0
601,1,297.9,309.7,2194,16.8,27,0
602,1,297.9,309.8,2000,21.3,29,0
603,1,297.9,309.8,1336,71.6,31,2
